1	A	a	DET	_	Definite=Def|PronType=Art	0	_	_	_
2	törpe	törpe	ADJ	_	Case=Nom|Degree=Pos|Number=Sing|Number[psed]=None|Number[psor]=None|Person[psor]=None	1	_	_	_
3	víziló	víziló	NOUN	_	Case=Nom|Number=Sing|Number[psed]=None|Number[psor]=None|Person[psor]=None	2	_	_	_
4	jobban	jól	ADV	_	_	3	_	_	_
5	alkalmazkodott	alkalmazkodik	VERB	_	Definite=Ind|Mood=Ind|Number=Sing|Person=3|Tense=Past|VerbForm=Fin|Voice=Act	4	_	_	_
6	a	a	DET	_	Definite=Def|PronType=Art	5	_	_	_
7	szárazföldi	szárazföldi	ADJ	_	Case=Nom|Degree=Pos|Number=Sing|Number[psed]=None|Number[psor]=None|Person[psor]=None	6	_	_	_
8	életmódhoz	életmód	NOUN	_	Case=All|Number=Sing|Number[psed]=None|Number[psor]=None|Person[psor]=None	7	_	_	_
9	,	,	PUNCT	_	_	8	_	_	_
10	de	de	CCONJ	_	_	9	_	_	_
11	ez	ez	PRON	_	Case=Nom|Number=Sing|Number[psed]=None|Number[psor]=None|Person=3|Person[psor]=None|PronType=Dem	10	_	_	_
12	is	is	CCONJ	_	_	11	_	_	_
13	a	a	DET	_	Definite=Def|PronType=Art	12	_	_	_
14	vizek	víz	NOUN	_	Case=Nom|Number=Plur|Number[psed]=None|Number[psor]=None|Person[psor]=None	13	_	_	_
15	közelében	közel	NOUN	_	Case=Ine|Number=Sing|Number[psed]=None|Number[psor]=Sing|Person[psor]=3	14	_	_	_
16	él	él	VERB	_	Definite=Ind|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	15	_	_	_
17	,	,	PUNCT	_	_	16	_	_	_
18	mivel	mivel	SCONJ	_	_	17	_	_	_
19	bőrét	bőr	NOUN	_	Case=Acc|Number=Sing|Number[psed]=None|Number[psor]=Sing|Person[psor]=3	18	_	_	_
20	nedvesen	nedves	ADJ	_	Case=Ess|Degree=Pos|Number=Sing|Number[psed]=None|Number[psor]=None|Person[psor]=None	19	_	_	_
21	kell	kell	VERB	_	Definite=Ind|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	20	_	_	_
22	tartania	tart	VERB	_	Number=Sing|Person=3|VerbForm=Inf|Voice=Act	21	_	_	_
23	,	,	PUNCT	_	_	22	_	_	_
24	továbbá	továbbá	ADV	_	_	23	_	_	_
25	a	a	DET	_	Definite=Def|PronType=Art	24	_	_	_
26	víz	víz	NOUN	_	Case=Nom|Number=Sing|Number[psed]=None|Number[psor]=None|Person[psor]=None	25	_	_	_
27	csökkenti	csökkent	VERB	_	Definite=Def|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	26	_	_	_
28	a	a	DET	_	Definite=Def|PronType=Art	27	_	_	_
29	testhőmérsékletét	testhőmérséklet	NOUN	_	Case=Acc|Number=Sing|Number[psed]=None|Number[psor]=Sing|Person[psor]=3	28	_	_	_
30	.	.	PUNCT	_	_	29	_	_	_

1	A	a	DET	_	Definite=Def|PronType=Art	0	_	_	_
2	párzás	párzás	NOUN	_	Case=Nom|Number=Sing|Number[psed]=None|Number[psor]=None|Person[psor]=None	1	_	_	_
3	és	és	CCONJ	_	_	2	_	_	_
4	az	az	DET	_	Definite=Def|PronType=Art	3	_	_	_
5	ellés	ellés	NOUN	_	Case=Nom|Number=Sing|Number[psed]=None|Number[psor]=None|Person[psor]=None	4	_	_	_
6	egyaránt	egyaránt	ADV	_	_	5	_	_	_
7	megtörténhet	meg+történik	VERB	_	Definite=Ind|Mood=Pot|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	6	_	_	_
8	a	a	DET	_	Definite=Def|PronType=Art	7	_	_	_
9	vízben	víz	NOUN	_	Case=Ine|Number=Sing|Number[psed]=None|Number[psor]=None|Person[psor]=None	8	_	_	_
10	vagy	vagy	CCONJ	_	_	9	_	_	_
11	a	a	DET	_	Definite=Def|PronType=Art	10	_	_	_
12	szárazon	száraz	NOUN	_	Case=Sup|Number=Sing|Number[psed]=None|Number[psor]=None|Person[psor]=None	11	_	_	_
13	.	.	PUNCT	_	_	12	_	_	_

